CodEntrega,CodVenta,CodProveedor,Proveedor,CodAlmacen,Almacen,CodEstado,Estado,Fecha_Envio,Fecha_Entrega
78,78,2,ExpressShip,2,Centro Sur,3,Entregado,2024-04-03,2024-06-27
79,79,5,ShipPro,4,Centro Este,1,En preparación,2024-04-14,2024-10-01
80,80,1,FastDelivery,3,Centro Oeste,3,Entregado,2024-05-06,2024-10-29
81,81,4,QuickSend,4,Centro Este,2,En tránsito,2024-05-31,2024-08-27
82,82,2,ExpressShip,5,Centro Central,4,Devuelto,2024-07-01,2024-10-01
83,83,3,GlobalCourier,1,Centro Norte,4,Devuelto,2024-04-24,2024-09-20
84,84,5,ShipPro,1,Centro Norte,3,Entregado,2024-02-29,2024-07-24
85,85,1,FastDelivery,2,Centro Sur,3,Entregado,2024-07-07,2024-07-23
86,86,5,ShipPro,3,Centro Oeste,2,En tránsito,2024-08-05,2024-11-16
87,87,1,FastDelivery,4,Centro Este,4,Devuelto,2024-08-14,2024-10-26
88,88,3,GlobalCourier,3,Centro Oeste,1,En preparación,2024-09-17,2024-09-22
89,89,3,GlobalCourier,2,Centro Sur,2,En tránsito,2024-06-11,2024-09-27
90,90,4,QuickSend,2,Centro Sur,1,En preparación,2024-02-10,2024-08-22
91,91,2,ExpressShip,1,Centro Norte,4,Devuelto,2024-05-11,2024-06-24
92,92,1,FastDelivery,2,Centro Sur,2,En tránsito,2024-06-22,2024-08-14
93,93,3,GlobalCourier,4,Centro Este,1,En preparación,2024-10-06,2024-10-29
94,94,4,QuickSend,1,Centro Norte,4,Devuelto,2024-02-12,2024-03-21
95,95,5,ShipPro,3,Centro Oeste,2,En tránsito,2024-08-29,2024-09-10
96,96,5,ShipPro,4,Centro Este,3,Entregado,2024-07-05,2024-11-15
97,97,4,QuickSend,1,Centro Norte,3,Entregado,2024-08-26,2024-08-27
98,98,2,ExpressShip,4,Centro Este,3,Entregado,2024-01-20,2024-04-04
99,99,5,ShipPro,2,Centro Sur,2,En tránsito,2024-01-28,2024-07-03
100,100,1,FastDelivery,2,Centro Sur,4,Devuelto,2024-02-16,2024-11-07
101,101,3,GlobalCourier,4,Centro Este,2,En tránsito,2024-07-23,2024-09-07
102,102,2,ExpressShip,1,Centro Norte,1,En preparación,2024-03-13,2024-04-26
103,103,4,QuickSend,3,Centro Oeste,1,En preparación,2024-07-09,2024-08-26
104,104,5,ShipPro,5,Centro Central,1,En preparación,2024-06-11,2024-06-23
105,105,4,QuickSend,5,Centro Central,1,En preparación,2024-06-28,2024-08-29
106,106,2,ExpressShip,5,Centro Central,1,En preparación,2024-02-17,2024-09-26
107,107,2,ExpressShip,4,Centro Este,2,En tránsito,2024-09-13,2024-11-08
108,108,2,ExpressShip,1,Centro Norte,2,En tránsito,2024-02-06,2024-07-05
109,109,2,ExpressShip,5,Centro Central,3,Entregado,2024-05-14,2024-07-31
110,110,1,FastDelivery,5,Centro Central,3,Entregado,2024-05-30,2024-07-12
111,111,5,ShipPro,2,Centro Sur,3,Entregado,2024-07-30,2024-08-07
112,112,5,ShipPro,1,Centro Norte,2,En tránsito,2024-06-21,2024-07-26
113,113,2,ExpressShip,3,Centro Oeste,4,Devuelto,2024-09-22,2024-11-03
114,114,5,ShipPro,5,Centro Central,4,Devuelto,2024-01-21,2024-09-13
115,115,3,GlobalCourier,5,Centro Central,4,Devuelto,2024-05-30,2024-06-19
116,116,4,QuickSend,5,Centro Central,3,Entregado,2024-11-02,2024-11-12
117,117,2,ExpressShip,2,Centro Sur,1,En preparación,2024-01-03,2024-02-19
118,118,4,QuickSend,2,Centro Sur,2,En tránsito,2024-01-04,2024-03-16
119,119,3,GlobalCourier,5,Centro Central,2,En tránsito,2024-04-19,2024-09-13
120,120,2,ExpressShip,1,Centro Norte,4,Devuelto,2024-07-14,2024-10-05
121,121,3,GlobalCourier,2,Centro Sur,3,Entregado,2024-05-07,2024-11-11
122,122,4,QuickSend,5,Centro Central,4,Devuelto,2024-10-02,2024-10-25
123,123,4,QuickSend,5,Centro Central,2,En tránsito,2024-08-08,2024-11-04
124,124,2,ExpressShip,2,Centro Sur,4,Devuelto,2024-02-08,2024-10-09
125,125,2,ExpressShip,1,Centro Norte,2,En tránsito,2024-03-10,2024-04-12
126,126,5,ShipPro,4,Centro Este,1,En preparación,2024-01-21,2024-02-19
127,127,4,QuickSend,1,Centro Norte,3,Entregado,2024-04-17,2024-07-10
128,128,3,GlobalCourier,2,Centro Sur,4,Devuelto,2024-02-21,2024-04-25
129,129,1,FastDelivery,5,Centro Central,4,Devuelto,2024-03-20,2024-10-06
130,130,2,ExpressShip,2,Centro Sur,2,En tránsito,2024-11-08,2024-11-18
131,131,1,FastDelivery,5,Centro Central,3,Entregado,2024-04-21,2024-10-03
132,132,3,GlobalCourier,3,Centro Oeste,1,En preparación,2024-06-01,2024-11-09
133,133,1,FastDelivery,5,Centro Central,3,Entregado,2024-01-11,2024-01-13
134,134,3,GlobalCourier,4,Centro Este,4,Devuelto,2024-08-28,2024-09-20
135,135,3,GlobalCourier,5,Centro Central,1,En preparación,2024-03-24,2024-09-22
136,136,4,QuickSend,5,Centro Central,3,Entregado,2024-06-28,2024-10-16
137,137,3,GlobalCourier,4,Centro Este,1,En preparación,2024-01-15,2024-10-11
138,138,5,ShipPro,3,Centro Oeste,2,En tránsito,2024-09-08,2024-09-12
139,139,5,ShipPro,2,Centro Sur,4,Devuelto,2024-03-24,2024-07-22
140,140,2,ExpressShip,2,Centro Sur,3,Entregado,2024-01-21,2024-01-27
141,141,3,GlobalCourier,1,Centro Norte,4,Devuelto,2024-06-21,2024-08-02
142,142,3,GlobalCourier,2,Centro Sur,1,En preparación,2024-09-09,2024-11-08
143,143,1,FastDelivery,5,Centro Central,1,En preparación,2024-08-13,2024-10-13
144,144,5,ShipPro,5,Centro Central,3,Entregado,2024-08-26,2024-08-29
145,145,3,GlobalCourier,4,Centro Este,2,En tránsito,2024-03-01,2024-04-02
146,146,4,QuickSend,1,Centro Norte,4,Devuelto,2024-02-15,2024-05-04
147,147,3,GlobalCourier,1,Centro Norte,3,Entregado,2024-08-08,2024-08-21
148,148,1,FastDelivery,3,Centro Oeste,4,Devuelto,2024-02-09,2024-10-09
149,149,2,ExpressShip,1,Centro Norte,4,Devuelto,2024-02-01,2024-03-29
150,150,3,GlobalCourier,5,Centro Central,4,Devuelto,2024-04-19,2024-07-05
151,151,1,FastDelivery,5,Centro Central,2,En tránsito,2024-11-10,2024-11-10
152,152,5,ShipPro,1,Centro Norte,2,En tránsito,2024-03-26,2024-03-30
153,153,4,QuickSend,1,Centro Norte,4,Devuelto,2024-04-10,2024-08-17
154,154,1,FastDelivery,3,Centro Oeste,2,En tránsito,2024-06-01,2024-10-16
155,155,5,ShipPro,3,Centro Oeste,1,En preparación,2024-07-21,2024-09-19
156,156,1,FastDelivery,5,Centro Central,2,En tránsito,2024-09-17,2024-11-15
157,157,1,FastDelivery,1,Centro Norte,3,Entregado,2024-06-27,2024-11-07
158,158,1,FastDelivery,4,Centro Este,3,Entregado,2024-06-01,2024-09-11
159,159,3,GlobalCourier,3,Centro Oeste,4,Devuelto,2024-08-18,2024-08-19
160,160,2,ExpressShip,1,Centro Norte,4,Devuelto,2024-05-10,2024-11-10
161,161,5,ShipPro,3,Centro Oeste,2,En tránsito,2024-05-16,2024-09-01
162,162,5,ShipPro,4,Centro Este,1,En preparación,2024-07-31,2024-11-18
163,163,1,FastDelivery,1,Centro Norte,2,En tránsito,2024-10-02,2024-10-03
164,164,2,ExpressShip,3,Centro Oeste,2,En tránsito,2024-01-23,2024-06-12
165,165,5,ShipPro,5,Centro Central,4,Devuelto,2024-02-26,2024-07-18
166,166,3,GlobalCourier,1,Centro Norte,2,En tránsito,2024-07-21,2024-10-07
167,167,1,FastDelivery,1,Centro Norte,1,En preparación,2024-06-30,2024-07-19
168,168,3,GlobalCourier,2,Centro Sur,1,En preparación,2024-09-12,2024-10-09
169,169,4,QuickSend,4,Centro Este,1,En preparación,2024-01-05,2024-02-11
170,170,2,ExpressShip,2,Centro Sur,3,Entregado,2024-06-19,2024-08-06
171,171,3,GlobalCourier,3,Centro Oeste,2,En tránsito,2024-02-15,2024-08-19
172,172,4,QuickSend,1,Centro Norte,1,En preparación,2024-02-22,2024-06-17
173,173,5,ShipPro,2,Centro Sur,3,Entregado,2024-11-08,2024-11-15
174,174,5,ShipPro,5,Centro Central,4,Devuelto,2024-01-16,2024-06-08
175,175,4,QuickSend,2,Centro Sur,3,Entregado,2024-10-01,2024-10-08
176,176,1,FastDelivery,1,Centro Norte,3,Entregado,2024-10-15,2024-10-18
177,177,2,ExpressShip,2,Centro Sur,1,En preparación,2024-03-04,2024-08-15
178,178,1,FastDelivery,5,Centro Central,4,Devuelto,2024-06-18,2024-06-20
179,179,3,GlobalCourier,4,Centro Este,4,Devuelto,2024-02-27,2024-10-16
180,180,1,FastDelivery,3,Centro Oeste,3,Entregado,2024-06-02,2024-08-12
181,181,3,GlobalCourier,4,Centro Este,4,Devuelto,2024-04-24,2024-08-05
182,182,2,ExpressShip,2,Centro Sur,3,Entregado,2024-04-12,2024-08-24
183,183,3,GlobalCourier,3,Centro Oeste,3,Entregado,2024-07-23,2024-10-01
184,184,4,QuickSend,4,Centro Este,3,Entregado,2024-06-06,2024-07-27
185,185,1,FastDelivery,3,Centro Oeste,1,En preparación,2024-02-25,2024-02-29
186,186,2,ExpressShip,3,Centro Oeste,4,Devuelto,2024-03-04,2024-05-15
187,187,3,GlobalCourier,4,Centro Este,1,En preparación,2024-07-14,2024-08-02
188,188,3,GlobalCourier,3,Centro Oeste,1,En preparación,2024-03-09,2024-04-08
189,189,3,GlobalCourier,5,Centro Central,4,Devuelto,2024-03-17,2024-07-27
190,190,2,ExpressShip,1,Centro Norte,1,En preparación,2024-05-03,2024-11-02
191,191,3,GlobalCourier,2,Centro Sur,2,En tránsito,2024-08-30,2024-10-29
192,192,4,QuickSend,4,Centro Este,2,En tránsito,2024-04-21,2024-09-08
193,193,5,ShipPro,4,Centro Este,1,En preparación,2024-08-25,2024-09-12
194,194,5,ShipPro,4,Centro Este,4,Devuelto,2024-05-21,2024-11-13
195,195,3,GlobalCourier,3,Centro Oeste,3,Entregado,2024-10-26,2024-11-09
196,196,5,ShipPro,5,Centro Central,2,En tránsito,2024-02-22,2024-05-11
197,197,5,ShipPro,1,Centro Norte,1,En preparación,2024-10-17,2024-10-24
198,198,2,ExpressShip,2,Centro Sur,1,En preparación,2024-10-09,2024-11-11
199,199,3,GlobalCourier,4,Centro Este,4,Devuelto,2024-08-11,2024-08-13
200,200,3,GlobalCourier,5,Centro Central,2,En tránsito,2024-03-16,2024-03-20
201,201,3,GlobalCourier,2,Centro Sur,2,En tránsito,2024-03-30,2024-06-13
202,202,2,ExpressShip,1,Centro Norte,2,En tránsito,2024-04-25,2024-05-26
203,203,3,GlobalCourier,4,Centro Este,2,En tránsito,2024-07-14,2024-10-07
204,204,1,FastDelivery,4,Centro Este,2,En tránsito,2024-05-20,2024-11-13
205,205,3,GlobalCourier,4,Centro Este,3,Entregado,2024-06-17,2024-09-16
206,206,4,QuickSend,3,Centro Oeste,2,En tránsito,2024-10-26,2024-11-18
207,207,3,GlobalCourier,2,Centro Sur,3,Entregado,2024-06-17,2024-09-06
208,208,5,ShipPro,1,Centro Norte,1,En preparación,2024-01-30,2024-09-21
209,209,4,QuickSend,5,Centro Central,3,Entregado,2024-05-04,2024-08-20
210,210,1,FastDelivery,5,Centro Central,3,Entregado,2024-11-03,2024-11-11
211,211,2,ExpressShip,5,Centro Central,4,Devuelto,2024-05-22,2024-07-04
212,212,2,ExpressShip,4,Centro Este,2,En tránsito,2024-02-16,2024-07-01
213,213,2,ExpressShip,5,Centro Central,4,Devuelto,2024-08-26,2024-10-25
214,214,3,GlobalCourier,5,Centro Central,3,Entregado,2024-09-30,2024-10-08
215,215,3,GlobalCourier,3,Centro Oeste,2,En tránsito,2024-02-04,2024-10-15
216,216,5,ShipPro,4,Centro Este,1,En preparación,2024-05-15,2024-10-21
217,217,3,GlobalCourier,5,Centro Central,1,En preparación,2024-09-02,2024-11-12
218,218,3,GlobalCourier,2,Centro Sur,2,En tránsito,2024-05-29,2024-08-29
219,219,1,FastDelivery,3,Centro Oeste,1,En preparación,2024-04-15,2024-06-26
220,220,1,FastDelivery,4,Centro Este,4,Devuelto,2024-03-31,2024-07-19
221,221,2,ExpressShip,1,Centro Norte,1,En preparación,2024-05-11,2024-05-25
222,222,2,ExpressShip,3,Centro Oeste,3,Entregado,2024-04-13,2024-04-21
223,223,2,ExpressShip,5,Centro Central,4,Devuelto,2024-07-15,2024-07-15
224,224,1,FastDelivery,3,Centro Oeste,1,En preparación,2024-07-11,2024-09-14
225,225,2,ExpressShip,2,Centro Sur,3,Entregado,2024-06-29,2024-09-09
226,226,2,ExpressShip,2,Centro Sur,3,Entregado,2024-05-25,2024-10-18
227,227,2,ExpressShip,4,Centro Este,4,Devuelto,2024-10-28,2024-11-09
228,228,5,ShipPro,3,Centro Oeste,4,Devuelto,2024-03-22,2024-07-15
229,229,5,ShipPro,3,Centro Oeste,3,Entregado,2024-07-15,2024-08-21
230,230,3,GlobalCourier,4,Centro Este,1,En preparación,2024-09-08,2024-10-22
231,231,1,FastDelivery,5,Centro Central,2,En tránsito,2024-03-14,2024-03-31
232,232,1,FastDelivery,3,Centro Oeste,4,Devuelto,2024-04-30,2024-10-21
233,233,5,ShipPro,1,Centro Norte,3,Entregado,2024-01-15,2024-06-05
234,234,4,QuickSend,4,Centro Este,1,En preparación,2024-07-14,2024-09-27
235,235,1,FastDelivery,2,Centro Sur,2,En tránsito,2024-07-21,2024-11-04
236,236,1,FastDelivery,5,Centro Central,3,Entregado,2024-08-01,2024-08-17
237,237,5,ShipPro,3,Centro Oeste,2,En tránsito,2024-01-11,2024-09-28
238,238,1,FastDelivery,5,Centro Central,3,Entregado,2024-02-08,2024-10-03
239,239,4,QuickSend,5,Centro Central,1,En preparación,2024-04-18,2024-11-02
240,240,4,QuickSend,4,Centro Este,1,En preparación,2024-09-30,2024-10-01
241,241,4,QuickSend,4,Centro Este,4,Devuelto,2024-05-16,2024-10-31
242,242,2,ExpressShip,5,Centro Central,2,En tránsito,2024-03-15,2024-05-20
243,243,1,FastDelivery,4,Centro Este,2,En tránsito,2024-11-04,2024-11-13
244,244,5,ShipPro,3,Centro Oeste,1,En preparación,2024-08-29,2024-11-01
245,245,5,ShipPro,3,Centro Oeste,2,En tránsito,2024-07-27,2024-08-09
246,246,3,GlobalCourier,1,Centro Norte,3,Entregado,2024-10-28,2024-11-04
247,247,3,GlobalCourier,1,Centro Norte,1,En preparación,2024-08-22,2024-10-18
248,248,2,ExpressShip,5,Centro Central,4,Devuelto,2024-01-19,2024-03-23
249,249,4,QuickSend,1,Centro Norte,1,En preparación,2024-07-01,2024-10-10
250,250,4,QuickSend,3,Centro Oeste,1,En preparación,2024-04-22,2024-07-08
251,251,1,FastDelivery,1,Centro Norte,1,En preparación,2024-10-01,2024-10-01
252,252,5,ShipPro,5,Centro Central,4,Devuelto,2024-06-01,2024-06-21
253,253,2,ExpressShip,3,Centro Oeste,3,Entregado,2024-08-09,2024-08-31
254,254,2,ExpressShip,4,Centro Este,3,Entregado,2024-07-26,2024-08-14
255,255,1,FastDelivery,4,Centro Este,3,Entregado,2024-01-16,2024-03-19
256,256,3,GlobalCourier,2,Centro Sur,4,Devuelto,2024-03-26,2024-06-13
257,257,4,QuickSend,5,Centro Central,4,Devuelto,2024-01-18,2024-06-14
258,258,2,ExpressShip,3,Centro Oeste,2,En tránsito,2024-07-21,2024-10-23
259,259,1,FastDelivery,2,Centro Sur,1,En preparación,2024-04-24,2024-10-09
260,260,5,ShipPro,2,Centro Sur,2,En tránsito,2024-02-12,2024-04-10
261,261,3,GlobalCourier,5,Centro Central,2,En tránsito,2024-04-23,2024-09-11
262,262,3,GlobalCourier,2,Centro Sur,3,Entregado,2024-02-13,2024-05-21
263,263,3,GlobalCourier,1,Centro Norte,1,En preparación,2024-05-04,2024-09-11
264,264,2,ExpressShip,4,Centro Este,3,Entregado,2024-05-28,2024-09-22
265,265,3,GlobalCourier,5,Centro Central,1,En preparación,2024-04-02,2024-09-10
266,266,5,ShipPro,1,Centro Norte,2,En tránsito,2024-02-04,2024-03-07
267,267,4,QuickSend,4,Centro Este,3,Entregado,2024-06-02,2024-10-04
268,268,2,ExpressShip,5,Centro Central,1,En preparación,2024-10-16,2024-11-12
269,269,1,FastDelivery,2,Centro Sur,4,Devuelto,2024-03-24,2024-07-30
270,270,5,ShipPro,3,Centro Oeste,2,En tránsito,2024-05-29,2024-07-26
271,271,2,ExpressShip,1,Centro Norte,3,Entregado,2024-07-11,2024-07-30
272,272,4,QuickSend,3,Centro Oeste,1,En preparación,2024-10-10,2024-10-19
273,273,5,ShipPro,3,Centro Oeste,2,En tránsito,2024-04-04,2024-10-08
274,274,5,ShipPro,2,Centro Sur,2,En tránsito,2024-10-15,2024-10-28
275,275,4,QuickSend,4,Centro Este,3,Entregado,2024-11-18,2024-11-18
276,276,4,QuickSend,1,Centro Norte,3,Entregado,2024-05-12,2024-06-17
277,277,5,ShipPro,4,Centro Este,4,Devuelto,2024-09-06,2024-10-10
278,278,4,QuickSend,5,Centro Central,1,En preparación,2024-06-16,2024-10-25
279,279,3,GlobalCourier,5,Centro Central,1,En preparación,2024-03-28,2024-11-18
280,280,4,QuickSend,5,Centro Central,1,En preparación,2024-05-26,2024-10-12
281,281,2,ExpressShip,2,Centro Sur,3,Entregado,2024-08-05,2024-09-12
282,282,2,ExpressShip,2,Centro Sur,1,En preparación,2024-04-04,2024-10-05
283,283,4,QuickSend,4,Centro Este,2,En tránsito,2024-01-23,2024-04-03
284,284,4,QuickSend,2,Centro Sur,4,Devuelto,2024-07-15,2024-09-27
285,285,5,ShipPro,2,Centro Sur,2,En tránsito,2024-02-27,2024-10-30
286,286,3,GlobalCourier,1,Centro Norte,4,Devuelto,2024-10-03,2024-10-27
287,287,5,ShipPro,3,Centro Oeste,2,En tránsito,2024-09-30,2024-11-05
288,288,3,GlobalCourier,1,Centro Norte,3,Entregado,2024-06-17,2024-10-09
289,289,1,FastDelivery,4,Centro Este,2,En tránsito,2024-05-04,2024-10-01
290,290,5,ShipPro,2,Centro Sur,4,Devuelto,2024-09-10,2024-11-05
291,291,3,GlobalCourier,2,Centro Sur,2,En tránsito,2024-04-10,2024-07-19
292,292,2,ExpressShip,2,Centro Sur,4,Devuelto,2024-08-10,2024-10-27
293,293,1,FastDelivery,1,Centro Norte,4,Devuelto,2024-06-02,2024-10-15
294,294,4,QuickSend,5,Centro Central,3,Entregado,2024-01-13,2024-01-14
295,295,5,ShipPro,1,Centro Norte,3,Entregado,2024-06-27,2024-08-20
296,296,2,ExpressShip,3,Centro Oeste,3,Entregado,2024-10-20,2024-11-08
297,297,4,QuickSend,1,Centro Norte,4,Devuelto,2024-09-18,2024-10-09
298,298,2,ExpressShip,3,Centro Oeste,2,En tránsito,2024-03-28,2024-11-02
299,299,3,GlobalCourier,3,Centro Oeste,1,En preparación,2024-10-06,2024-10-30
300,300,2,ExpressShip,4,Centro Este,1,En preparación,2024-03-06,2024-04-28
301,301,3,GlobalCourier,2,Centro Sur,1,En preparación,2024-07-21,2024-10-11
302,302,3,GlobalCourier,4,Centro Este,1,En preparación,2024-11-16,2024-11-16
303,303,1,FastDelivery,4,Centro Este,4,Devuelto,2024-01-01,2024-07-30
304,304,5,ShipPro,5,Centro Central,1,En preparación,2024-06-24,2024-10-24
305,305,1,FastDelivery,1,Centro Norte,4,Devuelto,2024-05-08,2024-06-21
306,306,2,ExpressShip,1,Centro Norte,3,Entregado,2024-04-24,2024-07-16
307,307,4,QuickSend,3,Centro Oeste,1,En preparación,2024-04-08,2024-10-04
308,308,1,FastDelivery,4,Centro Este,2,En tránsito,2024-06-12,2024-10-05
309,309,3,GlobalCourier,2,Centro Sur,1,En preparación,2024-11-13,2024-11-17
310,310,2,ExpressShip,3,Centro Oeste,3,Entregado,2024-07-05,2024-07-06
311,311,1,FastDelivery,2,Centro Sur,4,Devuelto,2024-09-18,2024-10-01
312,312,4,QuickSend,2,Centro Sur,1,En preparación,2024-07-14,2024-08-10
313,313,4,QuickSend,3,Centro Oeste,3,Entregado,2024-04-04,2024-09-23
314,314,4,QuickSend,5,Centro Central,4,Devuelto,2024-10-21,2024-11-18
315,315,5,ShipPro,5,Centro Central,2,En tránsito,2024-04-10,2024-08-21
316,316,1,FastDelivery,3,Centro Oeste,2,En tránsito,2024-10-16,2024-11-10
317,317,4,QuickSend,1,Centro Norte,2,En tránsito,2024-02-17,2024-02-24
318,318,5,ShipPro,1,Centro Norte,1,En preparación,2024-01-31,2024-03-23
319,319,5,ShipPro,4,Centro Este,3,Entregado,2024-04-02,2024-07-01
320,320,1,FastDelivery,3,Centro Oeste,4,Devuelto,2024-11-01,2024-11-12
321,321,1,FastDelivery,5,Centro Central,4,Devuelto,2024-07-27,2024-07-28
