FechaVenta,CodigoProducto,Producto,Cantidad,PrecioVenta,CodigoCliente,Cliente,CodigoTienda,Tienda
2024-05-11,21.0,Home Theater 7.1,8.0,1410.14,5.0,Weyland-Yutani,1.0,ElectroShop Online
2023-07-31,27.0,Lavadora Carga Superior,2.0,683.55,1.0,ACME Corp,19.0,Tienda Plus
2024-01-07,21.0,Home Theater 7.1,1.0,1172.68,15.0,LexCorp,7.0,Tienda Express
2024-05-23,30.0,Parlante Bluetooth,3.0,172.82,6.0,Stark Industries,3.0,Outlet Norte
2023-03-11,17.0,Microondas 25L,9.0,54.1,13.0,Tyrell Corp,4.0,ElectroShop Sur
2022-10-01,18.0,Aspiradora Robot,5.0,1024.06,10.0,Hooli,7.0,Tienda Express
2022-03-17,23.0,"Tablet - 12""",10.0,242.04,15.0,LexCorp,5.0,Tienda Premium
2024-08-30,24.0,Smartwatch Deportivo,9.0,803.13,14.0,Blue Sun Corporation,1.0,ElectroShop Online
2023-05-15,2.0,Lavadora 8kg,10.0,1321.5,8.0,Dunder Mifflin,10.0,ElectroShop California
2022-10-27,NULL,NULL,NULL,NULL,NULL,NULL,2.0,Tienda Central
2022-01-27,19.0,Batidora de Mano,8.0,1196.63,14.0,Blue Sun Corporation,NULL,NULL
2024-05-31,14.0,Refrigerador Simple Puerta,10.0,734.03,12.0,Cyberdyne Systems,7.0,Tienda Express
2023-03-03,5.0,Aspiradora Sin Bolsa,4.0,494.46,6.0,Stark Industries,NULL,NULL
2023-12-02,15.0,"Televisor LED 65""",9.0,1212.01,NULL,NULL,10.0,ElectroShop California
2023-03-26,NULL,NULL,NULL,NULL,11.0,Biohazard Inc,7.0,Tienda Express
2023-02-22,1.0,"Televisor LED 55""",3.0,629.54,6.0,Stark Industries,12.0,Outlet Sur
2024-10-25,23.0,"Tablet - 12""",7.0,346.22,11.0,Biohazard Inc,13.0,ElectroShop Norte
2023-12-26,22.0,"Laptop Gamer 15""",6.0,1055.48,3.0,Initech,15.0,ElectroShop Express
2023-01-03,14.0,Refrigerador Simple Puerta,8.0,1262.61,12.0,Cyberdyne Systems,5.0,Tienda Premium
2023-06-08,15.0,"Televisor LED 65""",6.0,597.98,7.0,Wayne Enterprises,18.0,ElectroShop Satélite
2023-01-03,21.0,Home Theater 7.1,7.0,1452.01,7.0,Wayne Enterprises,13.0,ElectroShop Norte
2023-09-13,12.0,"Televisor LED 55""",9.0,996.49,5.0,Weyland-Yutani,5.0,Tienda Premium
2024-06-19,19.0,Batidora de Mano,10.0,233.63,8.0,Dunder Mifflin,9.0,Tienda Online Plus
2022-07-13,16.0,Refrigerador Triple Puerta,6.0,1096.32,NULL,NULL,8.0,ElectroShop Este
2024-04-15,NULL,NULL,NULL,NULL,10.0,Hooli,20.0,ElectroShop Store
2024-08-07,14.0,Refrigerador Simple Puerta,4.0,998.84,5.0,Weyland-Yutani,13.0,ElectroShop Norte
2022-11-17,27.0,Lavadora Carga Superior,9.0,1288.83,11.0,Biohazard Inc,9.0,Tienda Online Plus
2022-04-30,7.0,Home Theater 5.1,10.0,428.36,1.0,ACME Corp,5.0,Tienda Premium
2024-05-17,13.0,Lavadora 10kg,2.0,1289.63,5.0,Weyland-Yutani,9.0,Tienda Online Plus
2022-10-05,26.0,"Televisor OLED 55""",1.0,191.44,1.0,ACME Corp,12.0,Outlet Sur
2024-01-17,23.0,"Tablet - 12""",6.0,995.69,2.0,Globex Corporation,15.0,ElectroShop Express
2022-03-22,29.0,Refrigerador Compacto,2.0,188.25,1.0,ACME Corp,8.0,ElectroShop Este
2024-06-26,9.0,"Tablet 10""",2.0,849.72,4.0,Umbrella Corp,NULL,NULL
2022-02-16,21.0,Home Theater 7.1,3.0,1171.84,9.0,Pied Piper,5.0,Tienda Premium
2024-05-10,23.0,"Tablet - 12""",1.0,102.63,4.0,Umbrella Corp,13.0,ElectroShop Norte
2022-12-11,24.0,Smartwatch Deportivo,3.0,1499.78,2.0,Globex Corporation,7.0,Tienda Express
2022-04-05,24.0,Smartwatch Deportivo,8.0,726.07,10.0,Hooli,17.0,Tienda Virtual Sur
2024-07-06,20.0,Lavadora Secadora,7.0,466.5,NULL,NULL,4.0,ElectroShop Sur
2023-11-11,5.0,Aspiradora Sin Bolsa,1.0,351.31,15.0,LexCorp,17.0,Tienda Virtual Sur
2024-10-22,16.0,Refrigerador Triple Puerta,10.0,382.1,13.0,Tyrell Corp,3.0,Outlet Norte
2022-10-13,19.0,Batidora de Mano,5.0,291.37,6.0,Stark Industries,19.0,Tienda Plus
2023-02-14,9.0,"Tablet 10""",6.0,1038.97,15.0,LexCorp,6.0,ElectroShop Oeste
2024-09-01,3.0,Refrigerador Doble Puerta,2.0,1322.89,8.0,Dunder Mifflin,20.0,ElectroShop Store
2022-04-12,1.0,"Televisor LED 55""",4.0,881.01,15.0,LexCorp,15.0,ElectroShop Express
2024-10-25,12.0,"Televisor LED 55""",7.0,638.66,15.0,LexCorp,20.0,ElectroShop Store
2024-04-19,6.0,Licuadora 600W,5.0,1365.31,4.0,Umbrella Corp,2.0,Tienda Central
2024-07-15,11.0,phone,1.0,72.2,6.0,Stark Industries,11.0,Tienda Norte
2023-04-12,5.0,Aspiradora Sin Bolsa,5.0,1218.71,9.0,Pied Piper,7.0,Tienda Express
2022-04-25,17.0,Microondas 25L,5.0,910.56,12.0,Cyberdyne Systems,NULL,NULL
2024-09-02,26.0,"Televisor OLED 55""",3.0,73.34,12.0,Cyberdyne Systems,2.0,Tienda Central
2023-12-23,17.0,Microondas 25L,3.0,1266.47,6.0,Stark Industries,7.0,Tienda Express
2022-03-20,22.0,"Laptop Gamer 15""",6.0,1183.92,14.0,Blue Sun Corporation,11.0,Tienda Norte
2023-02-19,8.0,"Computadora Portátil 15""",8.0,409.89,13.0,Tyrell Corp,17.0,Tienda Virtual Sur
2023-05-15,14.0,Refrigerador Simple Puerta,2.0,685.0,11.0,Biohazard Inc,15.0,ElectroShop Express
2022-06-01,14.0,Refrigerador Simple Puerta,7.0,636.88,11.0,Biohazard Inc,NULL,NULL
2024-06-05,NULL,NULL,NULL,NULL,11.0,Biohazard Inc,9.0,Tienda Online Plus
2022-08-23,11.0,phone,5.0,456.01,10.0,Hooli,12.0,Outlet Sur
2024-02-28,6.0,Licuadora 600W,5.0,609.5,8.0,Dunder Mifflin,7.0,Tienda Express
2023-02-22,30.0,Parlante Bluetooth,1.0,658.27,7.0,Wayne Enterprises,10.0,ElectroShop California
2023-08-19,13.0,Lavadora 10kg,8.0,304.43,11.0,Biohazard Inc,1.0,ElectroShop Online
2023-01-19,21.0,Home Theater 7.1,2.0,303.95,6.0,Stark Industries,18.0,ElectroShop Satélite
2022-05-08,8.0,"Computadora Portátil 15""",8.0,509.85,15.0,LexCorp,6.0,ElectroShop Oeste
2022-12-07,6.0,Licuadora 600W,7.0,1365.57,2.0,Globex Corporation,20.0,ElectroShop Store
2023-07-31,16.0,Refrigerador Triple Puerta,7.0,757.94,13.0,Tyrell Corp,6.0,ElectroShop Oeste
2022-09-27,6.0,Licuadora 600W,10.0,777.95,7.0,Wayne Enterprises,6.0,ElectroShop Oeste
2023-08-05,20.0,Lavadora Secadora,8.0,1149.69,14.0,Blue Sun Corporation,9.0,Tienda Online Plus
2022-03-11,5.0,Aspiradora Sin Bolsa,2.0,822.16,1.0,ACME Corp,14.0,NULL
2024-06-09,18.0,Aspiradora Robot,7.0,873.77,15.0,LexCorp,13.0,ElectroShop Norte
2023-11-14,25.0,Teléfono Inteligente 256GB,9.0,660.43,13.0,Tyrell Corp,11.0,Tienda Norte
2023-07-15,23.0,"Tablet - 12""",7.0,84.43,6.0,Stark Industries,3.0,Outlet Norte
2023-01-31,21.0,Home Theater 7.1,6.0,192.02,6.0,Stark Industries,6.0,ElectroShop Oeste
2023-11-11,26.0,"Televisor OLED 55""",3.0,905.13,2.0,Globex Corporation,12.0,Outlet Sur
2022-01-25,9.0,"Tablet 10""",9.0,1395.18,14.0,Blue Sun Corporation,15.0,ElectroShop Express
2023-03-08,11.0,phone,1.0,892.82,7.0,Wayne Enterprises,18.0,ElectroShop Satélite
2022-01-29,26.0,"Televisor OLED 55""",1.0,399.52,3.0,Initech,14.0,NULL
2024-06-28,NULL,NULL,NULL,NULL,12.0,Cyberdyne Systems,5.0,Tienda Premium
2024-03-22,9.0,"Tablet 10""",7.0,925.16,5.0,Weyland-Yutani,12.0,Outlet Sur
2022-03-30,18.0,Aspiradora Robot,4.0,1460.94,15.0,LexCorp,15.0,ElectroShop Express
2024-06-29,6.0,Licuadora 600W,7.0,1250.12,NULL,NULL,17.0,Tienda Virtual Sur
2024-05-03,20.0,Lavadora Secadora,10.0,1241.79,7.0,Wayne Enterprises,NULL,NULL
2024-07-25,10.0,Smartwatch,5.0,1182.08,9.0,Pied Piper,14.0,NULL
2022-06-21,26.0,"Televisor OLED 55""",6.0,1336.64,15.0,LexCorp,17.0,Tienda Virtual Sur
2024-09-21,8.0,"Computadora Portátil 15""",10.0,289.72,11.0,Biohazard Inc,7.0,Tienda Express
2024-07-22,21.0,Home Theater 7.1,4.0,805.13,6.0,Stark Industries,17.0,Tienda Virtual Sur
2024-07-17,24.0,Smartwatch Deportivo,8.0,1009.31,4.0,Umbrella Corp,6.0,ElectroShop Oeste
2022-01-25,10.0,Smartwatch,9.0,291.35,5.0,Weyland-Yutani,19.0,Tienda Plus
2023-05-06,13.0,Lavadora 10kg,3.0,72.19,11.0,Biohazard Inc,9.0,Tienda Online Plus
2022-10-20,NULL,NULL,NULL,NULL,7.0,Wayne Enterprises,10.0,ElectroShop California
2022-10-03,28.0,Cafetera Espresso,3.0,1107.59,1.0,ACME Corp,4.0,ElectroShop Sur
2022-04-08,11.0,phone,9.0,903.96,13.0,Tyrell Corp,14.0,NULL
2024-05-21,1.0,"Televisor LED 55""",4.0,358.23,5.0,Weyland-Yutani,20.0,ElectroShop Store
2023-01-06,10.0,Smartwatch,9.0,735.78,8.0,Dunder Mifflin,6.0,ElectroShop Oeste
2022-10-29,1.0,"Televisor LED 55""",3.0,678.57,15.0,LexCorp,17.0,Tienda Virtual Sur
2023-12-05,2.0,Lavadora 8kg,7.0,822.63,5.0,Weyland-Yutani,2.0,Tienda Central
2022-08-02,26.0,"Televisor OLED 55""",9.0,1372.33,7.0,Wayne Enterprises,12.0,Outlet Sur
2023-10-20,27.0,Lavadora Carga Superior,10.0,993.91,12.0,Cyberdyne Systems,3.0,Outlet Norte
2023-01-12,29.0,Refrigerador Compacto,1.0,552.32,3.0,Initech,11.0,Tienda Norte
2022-01-22,30.0,Parlante Bluetooth,10.0,561.09,3.0,Initech,10.0,ElectroShop California
2022-02-02,17.0,Microondas 25L,4.0,82.45,13.0,Tyrell Corp,17.0,Tienda Virtual Sur
2024-07-22,23.0,"Tablet - 12""",3.0,810.93,1.0,ACME Corp,4.0,ElectroShop Sur
2024-11-12,21.0,Home Theater 7.1,6.0,616.83,2.0,Globex Corporation,20.0,ElectroShop Store
2023-05-02,12.0,"Televisor LED 55""",5.0,1137.01,NULL,NULL,7.0,Tienda Express
2024-07-26,9.0,"Tablet 10""",6.0,448.19,13.0,Tyrell Corp,2.0,Tienda Central
2023-10-03,11.0,phone,10.0,1011.44,13.0,Tyrell Corp,17.0,Tienda Virtual Sur
2022-01-22,6.0,Licuadora 600W,5.0,772.24,8.0,Dunder Mifflin,11.0,Tienda Norte
2024-03-12,16.0,Refrigerador Triple Puerta,6.0,130.73,7.0,Wayne Enterprises,9.0,Tienda Online Plus
2024-05-10,8.0,"Computadora Portátil 15""",2.0,394.51,5.0,Weyland-Yutani,11.0,Tienda Norte
2022-05-12,28.0,Cafetera Espresso,7.0,1142.02,NULL,NULL,15.0,ElectroShop Express
2022-03-12,29.0,Refrigerador Compacto,10.0,1058.49,9.0,Pied Piper,12.0,Outlet Sur
2024-01-29,NULL,NULL,NULL,NULL,10.0,Hooli,20.0,ElectroShop Store
2023-06-22,11.0,phone,3.0,1152.19,8.0,Dunder Mifflin,11.0,Tienda Norte
2022-11-16,8.0,"Computadora Portátil 15""",7.0,991.58,13.0,Tyrell Corp,15.0,ElectroShop Express
2023-06-01,2.0,Lavadora 8kg,4.0,843.05,6.0,Stark Industries,11.0,Tienda Norte
2023-02-06,23.0,"Tablet - 12""",6.0,811.91,6.0,Stark Industries,15.0,ElectroShop Express
2022-09-06,2.0,Lavadora 8kg,6.0,206.18,14.0,Blue Sun Corporation,6.0,ElectroShop Oeste
2024-04-06,7.0,Home Theater 5.1,10.0,907.39,1.0,ACME Corp,4.0,ElectroShop Sur
2022-12-31,6.0,Licuadora 600W,2.0,602.24,3.0,Initech,6.0,ElectroShop Oeste
2024-02-02,10.0,Smartwatch,6.0,691.5,2.0,Globex Corporation,11.0,Tienda Norte
2024-01-14,9.0,"Tablet 10""",6.0,401.42,1.0,ACME Corp,11.0,Tienda Norte
2022-08-05,15.0,"Televisor LED 65""",3.0,863.63,5.0,Weyland-Yutani,7.0,Tienda Express
2024-06-24,20.0,Lavadora Secadora,3.0,1452.79,4.0,Umbrella Corp,9.0,Tienda Online Plus
2022-07-29,12.0,"Televisor LED 55""",8.0,1354.32,11.0,Biohazard Inc,7.0,Tienda Express
2022-10-16,15.0,"Televisor LED 65""",6.0,938.36,8.0,Dunder Mifflin,4.0,ElectroShop Sur
2023-02-11,9.0,"Tablet 10""",8.0,1352.93,14.0,Blue Sun Corporation,2.0,Tienda Central
2024-01-04,19.0,Batidora de Mano,10.0,834.02,12.0,Cyberdyne Systems,12.0,Outlet Sur
2023-09-14,7.0,Home Theater 5.1,8.0,358.31,5.0,Weyland-Yutani,NULL,NULL
2024-04-01,9.0,"Tablet 10""",6.0,218.42,7.0,Wayne Enterprises,19.0,Tienda Plus
2023-03-06,3.0,Refrigerador Doble Puerta,6.0,908.44,1.0,ACME Corp,7.0,Tienda Express
2023-08-18,4.0,Microondas 20L,1.0,655.62,6.0,Stark Industries,5.0,Tienda Premium
2023-02-28,18.0,Aspiradora Robot,2.0,627.21,10.0,Hooli,5.0,Tienda Premium
2023-06-29,3.0,Refrigerador Doble Puerta,10.0,851.03,3.0,Initech,8.0,ElectroShop Este
2022-08-23,9.0,"Tablet 10""",3.0,323.88,4.0,Umbrella Corp,13.0,ElectroShop Norte
2023-05-09,6.0,Licuadora 600W,9.0,974.11,12.0,Cyberdyne Systems,12.0,Outlet Sur
2024-05-01,12.0,"Televisor LED 55""",5.0,1045.28,15.0,LexCorp,6.0,ElectroShop Oeste
2022-01-26,19.0,Batidora de Mano,5.0,1389.54,NULL,NULL,3.0,Outlet Norte
2022-11-08,19.0,Batidora de Mano,7.0,1177.55,8.0,Dunder Mifflin,NULL,NULL
2023-03-25,26.0,"Televisor OLED 55""",3.0,1231.87,10.0,Hooli,7.0,Tienda Express
2023-10-04,17.0,Microondas 25L,4.0,233.5,12.0,Cyberdyne Systems,9.0,Tienda Online Plus
2022-12-28,27.0,Lavadora Carga Superior,4.0,553.96,12.0,Cyberdyne Systems,10.0,ElectroShop California
2024-07-12,24.0,Smartwatch Deportivo,7.0,1318.02,9.0,Pied Piper,6.0,ElectroShop Oeste
2024-05-08,22.0,"Laptop Gamer 15""",5.0,153.45,2.0,Globex Corporation,15.0,ElectroShop Express
2022-03-08,5.0,Aspiradora Sin Bolsa,6.0,346.86,13.0,Tyrell Corp,17.0,Tienda Virtual Sur
2023-01-20,10.0,Smartwatch,6.0,680.01,1.0,ACME Corp,20.0,ElectroShop Store
2022-09-01,25.0,Teléfono Inteligente 256GB,7.0,476.48,15.0,LexCorp,11.0,Tienda Norte
2024-02-20,5.0,Aspiradora Sin Bolsa,3.0,120.64,14.0,Blue Sun Corporation,7.0,Tienda Express
2023-08-29,21.0,Home Theater 7.1,7.0,1150.32,10.0,Hooli,13.0,ElectroShop Norte
2022-01-13,28.0,Cafetera Espresso,6.0,968.17,13.0,Tyrell Corp,13.0,ElectroShop Norte
2024-05-06,3.0,Refrigerador Doble Puerta,10.0,1056.41,4.0,Umbrella Corp,1.0,ElectroShop Online
2022-11-04,30.0,Parlante Bluetooth,6.0,764.77,8.0,Dunder Mifflin,6.0,ElectroShop Oeste
2022-06-21,16.0,Refrigerador Triple Puerta,3.0,937.55,15.0,LexCorp,14.0,NULL
2024-01-06,1.0,"Televisor LED 55""",1.0,985.25,7.0,Wayne Enterprises,13.0,ElectroShop Norte
2024-07-09,15.0,"Televisor LED 65""",9.0,1193.07,12.0,Cyberdyne Systems,17.0,Tienda Virtual Sur
2022-03-27,20.0,Lavadora Secadora,2.0,240.43,15.0,LexCorp,9.0,Tienda Online Plus
2022-08-27,1.0,"Televisor LED 55""",7.0,441.74,8.0,Dunder Mifflin,6.0,ElectroShop Oeste
2022-08-30,22.0,"Laptop Gamer 15""",9.0,1123.47,11.0,Biohazard Inc,9.0,Tienda Online Plus
2023-11-08,13.0,Lavadora 10kg,10.0,353.55,10.0,Hooli,2.0,Tienda Central
2023-06-08,21.0,Home Theater 7.1,1.0,545.59,6.0,Stark Industries,17.0,Tienda Virtual Sur
2022-04-09,5.0,Aspiradora Sin Bolsa,1.0,919.26,4.0,Umbrella Corp,12.0,Outlet Sur
2022-06-05,25.0,Teléfono Inteligente 256GB,3.0,1243.94,9.0,Pied Piper,7.0,Tienda Express
2022-03-12,19.0,Batidora de Mano,8.0,411.25,14.0,Blue Sun Corporation,NULL,NULL
2023-05-06,5.0,Aspiradora Sin Bolsa,9.0,530.07,4.0,Umbrella Corp,11.0,Tienda Norte
2022-09-29,25.0,Teléfono Inteligente 256GB,6.0,343.15,10.0,Hooli,6.0,ElectroShop Oeste
2023-09-08,30.0,Parlante Bluetooth,4.0,1204.65,7.0,Wayne Enterprises,NULL,NULL
2023-09-11,4.0,Microondas 20L,10.0,171.74,1.0,ACME Corp,10.0,ElectroShop California
2022-10-24,4.0,Microondas 20L,10.0,678.49,10.0,Hooli,3.0,Outlet Norte
2023-03-02,6.0,Licuadora 600W,1.0,588.51,11.0,Biohazard Inc,14.0,NULL
2022-05-02,11.0,phone,7.0,1262.4,15.0,LexCorp,10.0,ElectroShop California
2024-03-14,2.0,Lavadora 8kg,1.0,1336.28,7.0,Wayne Enterprises,4.0,ElectroShop Sur
2023-02-12,5.0,Aspiradora Sin Bolsa,5.0,220.48,6.0,Stark Industries,14.0,NULL
2023-06-04,7.0,Home Theater 5.1,7.0,494.0,15.0,LexCorp,2.0,Tienda Central
2024-01-04,NULL,NULL,NULL,NULL,8.0,Dunder Mifflin,12.0,Outlet Sur
2022-09-21,16.0,Refrigerador Triple Puerta,1.0,472.7,8.0,Dunder Mifflin,11.0,Tienda Norte
2022-03-25,14.0,Refrigerador Simple Puerta,5.0,1056.01,1.0,ACME Corp,20.0,ElectroShop Store
2023-05-27,2.0,Lavadora 8kg,10.0,934.29,8.0,Dunder Mifflin,1.0,ElectroShop Online
2024-06-29,17.0,Microondas 25L,5.0,1113.32,13.0,Tyrell Corp,2.0,Tienda Central
2022-04-16,4.0,Microondas 20L,1.0,1068.71,2.0,Globex Corporation,12.0,Outlet Sur
2023-09-28,NULL,NULL,NULL,NULL,5.0,Weyland-Yutani,15.0,ElectroShop Express
2023-01-27,8.0,"Computadora Portátil 15""",10.0,1323.79,4.0,Umbrella Corp,7.0,Tienda Express
2023-12-05,27.0,Lavadora Carga Superior,1.0,920.58,9.0,Pied Piper,8.0,ElectroShop Este
2023-02-02,NULL,NULL,NULL,NULL,2.0,Globex Corporation,17.0,Tienda Virtual Sur
2024-03-30,12.0,"Televisor LED 55""",5.0,170.1,1.0,ACME Corp,9.0,Tienda Online Plus
2022-10-31,2.0,Lavadora 8kg,7.0,1145.67,13.0,Tyrell Corp,5.0,Tienda Premium
2022-04-01,21.0,Home Theater 7.1,3.0,713.26,11.0,Biohazard Inc,10.0,ElectroShop California
2022-09-12,18.0,Aspiradora Robot,1.0,693.98,NULL,NULL,3.0,Outlet Norte
2023-04-29,10.0,Smartwatch,10.0,155.89,7.0,Wayne Enterprises,5.0,Tienda Premium
2023-03-14,21.0,Home Theater 7.1,10.0,675.29,12.0,Cyberdyne Systems,15.0,ElectroShop Express
2022-03-27,30.0,Parlante Bluetooth,1.0,1487.0,7.0,Wayne Enterprises,4.0,ElectroShop Sur
2024-05-06,19.0,Batidora de Mano,9.0,574.92,1.0,ACME Corp,11.0,Tienda Norte
2024-10-10,6.0,Licuadora 600W,4.0,1230.37,15.0,LexCorp,11.0,Tienda Norte
2024-01-05,5.0,Aspiradora Sin Bolsa,1.0,1481.99,15.0,LexCorp,12.0,Outlet Sur
2022-11-01,22.0,"Laptop Gamer 15""",6.0,1158.07,13.0,Tyrell Corp,14.0,NULL
2023-11-06,11.0,phone,4.0,1272.65,8.0,Dunder Mifflin,15.0,ElectroShop Express
2024-07-17,28.0,Cafetera Espresso,8.0,797.51,2.0,Globex Corporation,6.0,ElectroShop Oeste
2023-03-24,13.0,Lavadora 10kg,1.0,541.33,9.0,Pied Piper,NULL,NULL
2024-02-28,19.0,Batidora de Mano,4.0,1089.61,14.0,Blue Sun Corporation,3.0,Outlet Norte
2024-04-16,19.0,Batidora de Mano,3.0,722.96,9.0,Pied Piper,3.0,Outlet Norte
2022-12-03,14.0,Refrigerador Simple Puerta,8.0,1286.58,5.0,Weyland-Yutani,13.0,ElectroShop Norte
2022-01-19,14.0,Refrigerador Simple Puerta,6.0,1412.57,8.0,Dunder Mifflin,17.0,Tienda Virtual Sur
2024-01-06,29.0,Refrigerador Compacto,6.0,1298.01,9.0,Pied Piper,20.0,ElectroShop Store
2022-12-02,9.0,"Tablet 10""",5.0,313.67,12.0,Cyberdyne Systems,15.0,ElectroShop Express
2023-10-17,9.0,"Tablet 10""",4.0,698.01,4.0,Umbrella Corp,9.0,Tienda Online Plus
2022-05-28,9.0,"Tablet 10""",5.0,875.67,8.0,Dunder Mifflin,20.0,ElectroShop Store
2023-10-17,2.0,Lavadora 8kg,2.0,358.38,11.0,Biohazard Inc,10.0,ElectroShop California
2023-10-01,25.0,Teléfono Inteligente 256GB,8.0,529.9,15.0,LexCorp,17.0,Tienda Virtual Sur
2023-10-06,3.0,Refrigerador Doble Puerta,8.0,572.87,4.0,Umbrella Corp,14.0,NULL
2024-08-28,15.0,"Televisor LED 65""",9.0,520.18,4.0,Umbrella Corp,9.0,Tienda Online Plus
2022-05-31,25.0,Teléfono Inteligente 256GB,7.0,1246.98,13.0,Tyrell Corp,4.0,ElectroShop Sur
2024-08-21,9.0,"Tablet 10""",9.0,381.2,9.0,Pied Piper,4.0,ElectroShop Sur
2022-04-27,30.0,Parlante Bluetooth,8.0,285.4,6.0,Stark Industries,6.0,ElectroShop Oeste
2023-02-20,2.0,Lavadora 8kg,5.0,156.06,12.0,Cyberdyne Systems,19.0,Tienda Plus
2023-01-05,3.0,Refrigerador Doble Puerta,6.0,1048.34,8.0,Dunder Mifflin,14.0,NULL
2024-05-11,5.0,Aspiradora Sin Bolsa,6.0,1060.22,1.0,ACME Corp,3.0,Outlet Norte
